game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,status,error,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0000-0011,path_lure__vs__greedy_bfs,0,11,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0006,path_lure__vs__greedy_bfs,0,6,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0007,path_lure__vs__greedy_bfs,0,7,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0015,path_lure__vs__greedy_bfs,0,15,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0016,path_lure__vs__greedy_bfs,0,16,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0017,path_lure__vs__greedy_bfs,0,17,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0018,path_lure__vs__greedy_bfs,0,18,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0013,path_lure__vs__greedy_bfs,0,13,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0014,path_lure__vs__greedy_bfs,0,14,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0019,path_lure__vs__greedy_bfs,0,19,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0001-0000,depth_trap__vs__minimax_d1,1,0,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0002,depth_trap__vs__minimax_d1,1,2,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0004,depth_trap__vs__minimax_d1,1,4,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0006,depth_trap__vs__minimax_d1,1,6,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0001,depth_trap__vs__minimax_d1,1,1,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0003,depth_trap__vs__minimax_d1,1,3,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0009,depth_trap__vs__minimax_d1,1,9,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0008,depth_trap__vs__minimax_d1,1,8,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0005,depth_trap__vs__minimax_d1,1,5,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0010,depth_trap__vs__minimax_d1,1,10,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0012,depth_trap__vs__minimax_d1,1,12,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0007,depth_trap__vs__minimax_d1,1,7,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0011,depth_trap__vs__minimax_d1,1,11,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0014,depth_trap__vs__minimax_d1,1,14,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0016,depth_trap__vs__minimax_d1,1,16,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0013,depth_trap__vs__minimax_d1,1,13,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0015,depth_trap__vs__minimax_d1,1,15,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0018,depth_trap__vs__minimax_d1,1,18,depth_trap,minimax_d1,depth_trap,minimax_d1,ok,,0,depth_trap,17,False,,8,10,8,8,0,3,-8,-5,0,2,0,1,7,8,2,0,0,0
target-0001-0017,depth_trap__vs__minimax_d1,1,17,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0001-0019,depth_trap__vs__minimax_d1,1,19,depth_trap,minimax_d1,minimax_d1,depth_trap,ok,,1,depth_trap,26,False,,10,4,8,8,8,0,0,-8,2,0,1,0,13,7,0,6,0,0
target-0002-0000,rollout_poison__vs__mcts_5,2,0,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0002,rollout_poison__vs__mcts_5,2,2,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0004,rollout_poison__vs__mcts_5,2,4,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0006,rollout_poison__vs__mcts_5,2,6,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0001,rollout_poison__vs__mcts_5,2,1,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0003,rollout_poison__vs__mcts_5,2,3,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0009,rollout_poison__vs__mcts_5,2,9,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0008,rollout_poison__vs__mcts_5,2,8,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0005,rollout_poison__vs__mcts_5,2,5,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0012,rollout_poison__vs__mcts_5,2,12,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0011,rollout_poison__vs__mcts_5,2,11,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0010,rollout_poison__vs__mcts_5,2,10,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0007,rollout_poison__vs__mcts_5,2,7,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0013,rollout_poison__vs__mcts_5,2,13,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0014,rollout_poison__vs__mcts_5,2,14,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0015,rollout_poison__vs__mcts_5,2,15,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0002-0016,rollout_poison__vs__mcts_5,2,16,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0018,rollout_poison__vs__mcts_5,2,18,rollout_poison,mcts_5,rollout_poison,mcts_5,ok,,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0003-0000,counter_trap__vs__mcts_5,3,0,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0002-0017,rollout_poison__vs__mcts_5,2,17,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0003-0002,counter_trap__vs__mcts_5,3,2,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0002-0019,rollout_poison__vs__mcts_5,2,19,rollout_poison,mcts_5,mcts_5,rollout_poison,ok,,1,rollout_poison,46,False,,8,0,8,8,11,0,3,-8,2,0,1,0,21,13,2,10,0,2
target-0003-0004,counter_trap__vs__mcts_5,3,4,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0006,counter_trap__vs__mcts_5,3,6,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0001,counter_trap__vs__mcts_5,3,1,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0003,counter_trap__vs__mcts_5,3,3,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0005,counter_trap__vs__mcts_5,3,5,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0008,counter_trap__vs__mcts_5,3,8,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0009,counter_trap__vs__mcts_5,3,9,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0007,counter_trap__vs__mcts_5,3,7,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0010,counter_trap__vs__mcts_5,3,10,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0011,counter_trap__vs__mcts_5,3,11,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0012,counter_trap__vs__mcts_5,3,12,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0014,counter_trap__vs__mcts_5,3,14,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0013,counter_trap__vs__mcts_5,3,13,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0015,counter_trap__vs__mcts_5,3,15,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0016,counter_trap__vs__mcts_5,3,16,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0018,counter_trap__vs__mcts_5,3,18,counter_trap,mcts_5,counter_trap,mcts_5,ok,,0,counter_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0003-0017,counter_trap__vs__mcts_5,3,17,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0003-0019,counter_trap__vs__mcts_5,3,19,counter_trap,mcts_5,mcts_5,counter_trap,ok,,1,counter_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0001,argmax_q_trap__vs__q_learning,4,1,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0003,argmax_q_trap__vs__q_learning,4,3,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0005,argmax_q_trap__vs__q_learning,4,5,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0000,argmax_q_trap__vs__q_learning,4,0,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0002,argmax_q_trap__vs__q_learning,4,2,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0007,argmax_q_trap__vs__q_learning,4,7,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0004,argmax_q_trap__vs__q_learning,4,4,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0008,argmax_q_trap__vs__q_learning,4,8,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0009,argmax_q_trap__vs__q_learning,4,9,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0006,argmax_q_trap__vs__q_learning,4,6,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0010,argmax_q_trap__vs__q_learning,4,10,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0011,argmax_q_trap__vs__q_learning,4,11,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0012,argmax_q_trap__vs__q_learning,4,12,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0013,argmax_q_trap__vs__q_learning,4,13,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0015,argmax_q_trap__vs__q_learning,4,15,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0014,argmax_q_trap__vs__q_learning,4,14,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0017,argmax_q_trap__vs__q_learning,4,17,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0016,argmax_q_trap__vs__q_learning,4,16,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
target-0004-0019,argmax_q_trap__vs__q_learning,4,19,argmax_q_trap,q_learning,q_learning,argmax_q_trap,ok,,1,argmax_q_trap,34,False,,10,0,8,8,21,0,13,-8,1,0,1,0,17,7,0,10,0,1
target-0004-0018,argmax_q_trap__vs__q_learning,4,18,argmax_q_trap,q_learning,argmax_q_trap,q_learning,ok,,1,q_learning,74,False,,0,8,8,8,3,0,-5,-8,1,0,1,0,27,35,10,2,1,0
